SMILES,luciferase_artifact,pac50_cyp1a2,pac50_cyp2c9,pac50_cyp2d6,pac50_cyp3a4
CN1CCC2=CC(=C(C=C2[C@@H]3[C@@H]1CCC4=CC=CC=C34)O)Cl,False,,,8.10790539730952,
CC1=CC=CO1,False,,,4.25779822210694,
CN1C=C(C2=CC=CC=C21)C(=O)[C@@H]3CCC4=C(C3)NC=N4.Cl,False,4.760030197409634,,4.760030197409634,4.9100313379205005
CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],False,4.198864633756791,4.723865746792738,4.248864914695038,
CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2,False,,,4.96003097313254,
COC1=CC=CC(=C1)N,False,4.39568644863326,5.1456878841926965,4.645685992213179,5.595679532778269
C1CCN(CC1)CC(COC(=O)NC2=CC=CC=C2)OC(=O)NC3=CC=CC=C3.Cl,False,,4.760030197409634,6.460046158343603,5.660032085297399
CC(CCC1=CC=CC=C1)CCO,False,4.498865393540615,4.448864857638396,,
C1=CC=C(C=C1)NC2=NC=NC(=N2)N,False,4.5406014804148525,,,
CC(C)C1N(CCO1)CCOC(=O)NCCCCCCNC(=O)OCCN2CCOC2C(C)C,False,,,4.198864633756791,4.798865170407076
CC1CCCCN1CCCOC(=O)C2=CC=C(C=C2)OC3CCCCC3,False,,,4.860029658404407,
CC1=CC(=CC=C1)NC(=O)C,False,4.346743093946517,,,
C1=CC(=CC=C1N)N=NC2=CC=C(C=C2)N,True,4.99895460948881,4.548953876865292,,5.298950369270861
CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],False,4.1485104968726825,4.248510729867378,5.4042695536322665,4.198510537295644
C1=CC=C(C=C1)CSCC2=CC=CC=C2,False,4.599928501652503,4.499928269874536,,
C1=CC(=C(C(=C1)Cl)CCl)F,False,4.3988649544426,,4.723460075803559,
C1CCC(CC1)N=C=NC2CCCCC2,False,4.373145559845744,,4.3988649544426,
CC(C)CC1=CC=CC=C1,False,4.4052815747858105,,,
C[C@@H](CCC=C(C)C)C=C,False,4.448864857638396,,,
CC1=CC=C(C=C1)N.Cl,False,4.5460383409682175,4.4960378112983825,5.09603687366529,4.334625418253833
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl,True,6.171197551130547,4.821222511908482,5.446220009057135,5.096222946917096
C1=CC(=CC=C1O)I,False,4.3988649544426,4.148864616843579,4.198864633756791,
C=CC(=O)OCC(CO)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C,False,,5.153848523471185,4.6038477476303745,6.353890478021152
C(CBr)O,False,4.197803209322238,,4.147803121994556,
CC(C)CC(C)(C)C,False,4.382817167661161,4.351373150694583,4.432817127718823,4.482817302690824
CC(=O)OC(C)(C)C,False,,,4.648864911118024,
O[Se](=O)O,False,,5.048157555308567,,
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],False,4.478585991510725,,,
CC1[C@H]2C[C@]2(CC1=O)C(C)C,False,4.212466558803025,4.212466558803025,4.462466752157485,
C1=CC(=O)NC1=O,True,4.487302265705045,,,
CCOC(=O)C1=NN(C(C1)(C)C(=O)OCC)C2=C(C=C(C=C2)Cl)Cl,False,4.198864633756791,5.148864004988426,4.3988649544426,4.448864857638396
C1=CC(=CC(=C1)N)N.Cl.Cl,False,4.399573853919421,4.149573724203458,4.399573853919421,4.499574145995192
C1=CC(=CC(=C1)Cl)Cl,False,4.4020636063582606,,,
C1CCOC(=O)C1,False,4.273459830462956,,,
CC(C)CON=O,False,4.735012268912175,,4.4668866168102035,
CC1=CC=C(C=C1)C(C)NC(=O)[C@H](C(C)C)NC(=O)OC(C)C,False,4.450283314699821,4.550284076611865,4.450283314699821,5.500285431258876
C(OCCl)Cl,False,4.396743007005474,,,
CC(CCCC(C)(C)O)N.Cl,False,,,6.110026361596004,
CC(C)CCCC(C)N,False,4.810029897405945,,,
CCC/C=C(/CC)\C=O,False,4.3988649544426,4.198864633756791,,4.22936518990372
CCCCSCCCC,False,,4.198864633756791,,
CCCCCCCCCCCCCC(=O)O,True,4.148864616843579,,,
CCCCCCCCCCCCCCCC,False,,4.448864857638396,,
CCCC[N+]1(CCCC1)C.[Br-],False,4.143518830792708,,,
C(#N)C(Cl)(Cl)Cl,False,,,4.459602945735281,
CC(C(=O)OC)O,False,4.389385610554415,,,
CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,False,4.195686066796907,4.995687226193237,4.445686531595555,4.39568644863326
CO/N=C(\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4,False,4.598864942530007,4.948862919408721,,4.748865707419434
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],True,4.860029658404407,4.648864911118024,5.160031997995545,5.110031956768376
CCN(CC)CCSC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,False,4.860029658404407,4.760030197409634,5.310025555333226,5.460033632003287
CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,False,4.510030276850633,4.510030276850633,,5.510027465964983
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,False,4.445993253446242,,5.2488672255444015,4.59850985214165
CC(CC1=CC(=C(C(=C1)OC)OC)OC)N.Cl,False,4.364645957709449,,4.364645957709449,
CN1C(=O)C2=CC=CC=C2C1=O,False,4.748865707419434,4.548864726812244,,
