Smiles,PPB
S(=O)(=O)(CC)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,37.2211990
O(CCO)c1ccccc1,70.4287033
O=C1NN=C(CN1\N=C\c1cccnc1)C,0.5385000
Clc1cccc(Sc2nc(OC)cc(OC)n2)c1C(O)=O,97.1993027
Clc1c2c(nccc2Oc2ccc(F)cc2)cc(Cl)c1,99.5000000
S(=O)(=O)(NC(=O)Nc1nc(nc(OCC(F)(F)F)n1)N(C)C)c1c(cccc1C)C(OC)=O,67.0764999
Clc1c(Cl)c(O)ccc1NC(=O)C1(CCCCC1)C,94.2806015
O(C(=O)c1ccccc1C(OC)=O)C,34.3969002
FC1(F)Oc2c(O1)cccc2-c1c[nH]cc1C#N,99.5000000
O(C(=O)c1ccccc1C(O)=O)CCCC,79.2288971
O(c1ccccc1C#N)c1ncnc(Oc2ccccc2/C(=C/OC)/C(OC)=O)c1,95.2366028
S(P(SCCC)(OCC)=O)CCC,90.6540985
Clc1ccc(cc1)\C=C\1/CCC(C)(C)C/1(O)Cn1ncnc1,86.2742996
